Year,TS,pval,stars
1973,1.000000000000088,0.6128,
1974,0.9999999999944396,0.5703,
1975,1.000000000003796,0.52565,
1976,0.9999999999996353,0.73165,
1977,1.000000000003598,0.86985,
1978,1.000000000017114,0.7040500000000001,
1979,1.0000000000023894,1.0,
1980,1.0000000000000169,0.36365000000000003,
1981,1.000000000000029,0.90735,
1982,0.999999999998356,0.5352,
1983,1.0000000000003557,1.0,
1984,1.0000000000008091,0.9044,
1985,1.000000000000021,0.44935,
1986,1.0000000000001528,0.7066,
1987,1.0000000000031097,1.0,
1988,0.9999999999998747,0.7202999999999999,
1989,1.0000000000004736,0.90615,
1990,1.0000000000001645,0.5883499999999999,
1991,1.0000000000000933,0.5446500000000001,
1992,1.000000000000031,0.51725,
1993,1.0000000000010671,1.0,
1994,1.0000000000050746,0.50125,
1995,1.0000000000473444,0.55365,
1996,0.9999999999986229,0.122,
1997,1.0000000000002476,0.63585,
1998,1.0000000000000828,0.6164000000000001,
1999,1.0000000000000275,0.014950000000000019,**
2000,1.000000000000077,0.5325500000000001,
2001,1.0000000000020342,1.0,
2002,1.0000000000000173,0.08645000000000003,*
2003,1.000000000001684,0.73365,
2004,1.000000000006728,0.6146,
2005,0.9999999999944268,0.6800999999999999,
2006,1.0000000000179348,0.5816,
2007,1.0000000000003142,0.59275,
2008,1.0000000000015425,0.61195,
